bat_style,field_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,bowl_style,wickets,bowling_average,economy_rate
right-hand bat,wicketkeeper,0.0,1.0,1.0,2.0,0.0,0.0,,buy,,,,
right-hand bat,wicketkeeper,0.0,0.6923076923076921,115.0,12.77,108.49,9.0,5.0,buy,right-arm offbreak,,,
right-hand bat,,0.0,1.2,25.0,62.0,0.0,6.0,,buy,,,,
right-hand bat,wicketkeeper,1.0,1.23728813559322,1475.0,31.38,125.31,133.0,51.0,buy,,,,
right-hand bat,,3.0,0.976190476190476,776.0,22.82,108.68,73.0,24.0,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,3.0,0.7614678899082561,2237.0,26.63,151.04,244.0,91.0,buy,,,,
right-hand bat,,1.0,1.238095238095238,1396.0,31.02,127.95,109.0,55.0,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,4.0,1.245283018867924,,,,,,buy,,,,
right-hand bat,,0.0,1.0,,,,,,buy,right-arm medium,,5.0,
right-hand bat,,0.0,0.33333333333333304,,,,,,buy,right-arm medium,,7.57,21.0
right-hand bat,,0.0,1.333333333333333,,,,,,buy,right-arm medium,,7.26,15.3
